COMPANY	COUNTRY	MARKET
Controladora Comercial Mexicana S.A. de C.V.	Mexico	NYSE
Converium Holding AG	Switzerland	NYSE
Cookson Group plc	United Kingdom	OTC
Coolbrands International Inc.	Canada	OTC
Copamex Industries, S.A. de C.V.	Mexico	OTC - Debt
Copene - Petroquimica do Nordeste S.A.	Brazil	NYSE
Coral Gold Corp.	Canada	OTC
Coral Group plc	United Kingdom	OTC - Debt
Cordiant Communications Group plc	United Kingdom	NYSE
Corel Corp.	Canada	NMS
Corimon C.A.	Venezuela	NYSE
Corus Entertainment Inc.	Canada	NYSE
Corus Group plc	United Kingdom	NYSE
Cott Corp.	Canada	NMS
Counsel Corp.	Canada	NMS
CP Ships Ltd.	Canada	NYSE
Crayfish Co. Ltd.	Japan	NMS
Cream Minerals Ltd.	Canada	OTC
Creative Technology Ltd.	Singapore	NMS
Creator Capital Ltd.	Canada	OTC
Credicorp	Bermuda	NYSE
Credit Suisse Group	Switzerland	NYSE
Creo Products Inc.	Canada	NMS
Cresud Sacif	Argentina	NMS
Crew Development Corp.	Canada	OTC
CRH plc	Ireland	NMS
Cristalerias de Chile S.A.	Chile	NYSE
Crosswave Communications Inc.	Japan	NMS
Crow Technologies 1977 Ltd.	Israel	OTC
Crucell N.V.	Netherlands	NMS
Cryopack Industries Inc.	Canada	OTC
Cryptologic Inc.	Canada	NMS
Crystal Graphite Corp.	Canada	OTC
Crystal Systems Solutions Ltd.	Israel	NMS
Crystallex International Corp.	Canada	AMEX
CSR Ltd.	Australia	OTC
CTI Holdings S.A.	Argentina	OTC - Debt
Cumberland Resources Ltd.	Canada	OTC
Current Technology Corp.	Canada	OTC
Cusac Gold Mines Ltd.	Canada	OTC
D G Jewelry of Canada Inc.	Canada	SM CAP
DaimlerChrysler AG	Germany	NYSE
Dassault Systems S.A.	France	NMS
Datalex plc	Ireland	NMS
Datamirror Corp.	Canada	NMS
Datawave Systems Inc.	Canada	OTC
Daugherty Resources Inc.	Canada	SM CAP
Dayton Mining Co.	Canada	AMEX
De Rigo S.p.A.	Italy	NYSE
Dealcheck.com Inc.	Canada	OTC
Decoma International Inc.	Canada	NMS
Dectron Internationale Inc.	Canada	SM CAP
Delano Technology Corp.	Canada	NMS
Delta Galil Industries Ltd.	Israel	NMS
Derek Resources Corp.	Canada	OTC
Derlan Manufacturing Inc.	Canada	OTC - Debt
Desc S.A. de C.V.	Mexico	NYSE
Descartes Systems Group Inc.	Canada	NMS
Deswell Industries Inc.	British Virgin Islands	NMS
Deutsche Bank Aktiengesellschaft	Germany	NYSE
Deutsche Telekom AG	Germany	NYSE
DF China Technology Inc.	British Virgin Islands	SM CAP
Diageo plc	United Kingdom	NYSE
Dialog Semiconductor plc	United Kingdom	NMS
Digital Star Inc.	British Virgin Islands	OTC
Digitale Telekabel AG	Germany	SM CAP
Disco S.A.	Argentina	OTC
Distribucion y Servicio D&S S.A.	Chile	NYSE
Diversinet Inc.	Canada	NMS
Dolphin Telecom plc	United Kingdom	OTC - Debt
Doman Industries Ltd.	Canada	OTC
Domtar Inc.	Canada	NYSE
Donner Minerals Ltd.	Canada	OTC
Dorel Industries Inc.	Canada	NMS
Dr. Reddy's Laboratories Ltd.	India	NYSE
Draxis Health Inc.	Canada	NMS
DSG International Ltd.	British Virgin Islands	NMS
Ducati Motor Holdings S.p.A.	Italy	NYSE
Dundee Bancorp Inc.	Canada	OTC
Durban Roodepoort Deep Ltd.	South Africa	NMS
Dynacare Inc.	Canada	NMS
Dynamic Digital Depth Inc.	Canada	OTC
Dynamic Oil & Gas Ltd.	Canada	SM CAP
DynaMotive Energy Systems Corp.	Canada	OTC
Dynea International Oy	Finland	OTC - Debt
E*Comnetrix Inc.	Canada	OTC
E.ON AG	Germany	NYSE
Ebookers.com plc	United Kingdom	NMS
Echo Bay Mines Ltd.	Canada	AMEX
ECI Telecommunications Ltd.	Israel	NMS
Ectel Ltd.	Israel	NMS
EDAP TMS S.A.	France	NMS
E-digital Corp.	Canada	OTC
EDP - Electricidade de Portugal S.A.	Portugal	NYSE
Eganagoldpfeil (Holdings) Ltd.	Cayman Islands	NMS
Eidos plc	United Kingdom	NMS
Eiger Technology Inc.	Canada	OTC
Eimo Oyj	Finland	NMS
Ek Chor China Motorcycle Company Ltd.	Bermuda	NYSE
Ekabel Hessen GmbH	Germany	OTC - Debt
Eksportfinans A/S	Norway	NYSE
Elan Corp plc	Ireland	NYSE
Elbit Ltd.	Israel	NMS
Elbit Medical Imaging Ltd.	Israel	NMS
Elbit Systems Ltd.	Israel	NMS
Elbit Vision Systems Ltd.	Israel	SM CAP
Electrochemical Industries 1952 Ltd.	Israel	AMEX
Elephant & Castle Group, Inc.	Canada	OTC
Eletson Holdings Inc.	Liberia	OTC - Debt
Elron Electronic Industries Ltd.	Israel	NMS
Elscint Ltd.	Israel	NYSE
Elsevier N.V.	Netherlands	NYSE
Eltek Ltd.	Israel	NMS
Embotelladora Andina S.A.	Chile	NYSE
Embraer-Empresa Brasileira de Aeronautica S.A.	Brazil	NYSE
Embratel Participacoes S.A.	Brazil	NYSE
Emco Ltd.	Canada	NMS
Empresa Electrica Pehuenche S.A.	Chile	OTC - Debt
Empresa Nacional de Electricidad S.A. - Endesa	Chile	NYSE
Empresas ICA Sociedad Controladora S.A.	Mexico	NYSE
Enbridge Inc.	Canada	NYSE
Endesa S.A.	Spain	NYSE
Enel S.p.A.	Italy	NYSE
Energis plc	United Kingdom	NMS
Energy Power Systems Ltd.	Canada	OTC
Enerplus Resources Fund	Canada	NYSE
Enersis S.A.	Chile	NYSE
Engel General Developers Ltd.	Israel	NMS
ENI S.p.A.	Italy	NYSE
Enitel ASA	Norway	OTC - Debt
Enodis plc	United Kingdom	NYSE
Enterprise Oil plc	United Kingdom	NYSE
Enterra Energy Corp.	Canada	SM CAP
Envoy Communications Group, Inc.	Canada	SM CAP
EPCOS AG	Germany	NYSE
Equant N.V.	Netherlands	NYSE
Equity Finance Holding Corp.	Belize	OTC
Esat Group Ltd	Ireland	OTC - Debt
e-Sim Ltd.	Israel	NMS
Espirito Santo Centrais Eletricas S.A. - Escelsa	Brazil	OTC - Debt
Espirito Santo Financial Group S.A.	Luxembourg	NYSE
Etablissements Delhaize Freres & Cie - Le Lion	Belgium	NYSE
Etruscan Resources Inc.	Canada	OTC
ETZ Lavud Ltd.	Israel	AMEX
Euro Disney S.C.A.	France	OTC
Euro-Tech Holdings Inc.	British Virgin Islands	SM CAP
Eurotel Bratislava, A.S.	Slovak Republic	OTC - Debt
EuroTrust A/S	Denmark	SM CAP
Eurozinc Mining Corp.	Canada	OTC
Excel Maritime Carriers Ltd.	Liberia	AMEX
Exfo Electro-Optical Engineering Inc.	Canada	NMS
Extendicare Inc.	Canada	NYSE
Fage Dairy Industry S.A.	Greece	OTC - Debt
Fahnestock Viner Holdings Inc.	Canada	NYSE
Fairfax Financial Holdings Ltd.	Canada	OTC
Fairfield Minerals Ltd.	Canada	OTC
Fairmont Hotels & Resorts Inc.	Canada	NYSE
